hip,ra,dec,hp_mag,b_v,plx,pm_ra,pm_de
26777,85.3238147758288,16.53418351696414,4.8026,-0.125,5.13,3.5,-15.47
26779,85.33472088421966,53.4823303874261,6.354,0.84,81.45,1.82,-523.99
27196,86.4752056596427,49.826283442296045,5.4871,0.03,7.89,-6.97,-1.22
27713,88.03221078454668,-9.041978647849575,5.9961,0.1,10.11,-2.76,32.09
28098,89.08726171427577,-31.38245486197693,5.6132,0.382,1.96,0.08,6.04
28296,89.70658755710161,0.552973737704326,5.2248,0.009,7.32,-15.13,1.66
28675,90.81483773842976,-26.28475063806989,5.177,1.335,8.02,66.88,85.35
28756,91.0844851928927,-32.17272398078299,5.5825,-0.186,3.24,-16.28,122.06
28814,91.24316611781477,4.158676863810212,5.7947,1.041,0.69,-0.99,-3.05
28909,91.53900968395564,-66.03968895169498,5.7068,-0.024,10.14,13.57,27.6
28930,91.59349081975931,29.512425206385842,6.0625,1.73,4.44,11.63,-6.21
29263,92.54341628975618,-40.35396995696995,5.5869,1.665,3.83,-20.37,73.69
29488,93.19304708503702,-17.763240955581445,6.4583,-0.166,3.59,-6.25,4.18
29705,93.85898494671665,-9.035751072171474,6.0723,-0.081,4.67,-13.04,-4.23
29997,94.71158252296172,69.32003429252849,4.7792,0.025,18.64,-2.12,-101.99
30564,96.36739846525327,14.722003444702182,6.3267,2.349,0.05,-3.55,-5.65
30660,96.64352717245814,-4.5973932086632265,6.1096,-0.151,2.52,-4.33,-1.7
30883,97.24079322343897,20.212166735697735,4.0991,-0.115,5.99,-6.82,-13.1
88,0.26915945484968373,-48.80985914414548,5.869,0.911,5.5,-18.36,-5.82
124,0.4042452902189095,61.22280390241644,5.6725,0.407,1.06,-3.14,-0.74
238,0.7392740644927849,-20.04607412614068,6.3687,0.526,16.35,101.08,78.03
417,1.2658188748487085,-0.5029054941908759,6.4798,1.099,7.2,45.5,-53.67
418,1.275552373545638,61.31396450710933,5.7814,-0.067,4.51,14.29,2.38
655,2.014655312733751,-33.52933373065939,5.8385,1.119,10.53,-43.55,3.32
983,3.0414545358329024,-17.938217602337943,5.4056,1.478,5.24,55.37,-24.95
1366,4.273065532751542,38.68167907164564,4.6349,0.059,10.56,-49.35,-17.65
1599,5.007975973594922,-64.87762320525633,4.3442,0.576,116.46,1707.42,1164.3
1939,6.123621653500324,-2.218961439839881,6.2416,1.216,6.59,-32.64,-41.86
2159,6.811196578763709,-25.547133424281178,6.1516,1.021,5.68,32.18,-16.13
2353,7.509803886586429,-3.957296797786347,5.8315,1.545,5.75,9.39,-12.88
3185,10.135015946009865,-23.80399321934643,6.2788,0.718,34.62,635.18,-363.56
3607,11.548455253911877,-22.52206723463987,5.6612,0.978,10.72,197.91,-12.73
3807,12.236403272102716,-46.697698355120906,6.4372,0.897,7.72,-11.0,20.46
5259,16.803648959924317,-23.99625634655671,6.4286,0.238,14.54,75.49,-31.57
5296,16.9421678724583,-9.785591807668556,5.8131,0.446,21.21,149.2,17.27
5336,17.05383814314063,54.92422782146291,5.2898,0.704,132.38,3422.23,-1598.93
6411,20.584971052852513,45.52875641040259,5.0399,1.077,15.21,31.45,8.83
7050,22.716717573314824,66.09811439198569,6.176,0.07,10.66,75.05,-10.48
